District,FarmSize,Prod,Buy_Prod_AvgVal,Loss_AvgVal,lossPerProd,altitudeCateg
Pishin,<5 Acres,Average,1000,300,0.3,Lower (< 1900)
Pishin,<5 Acres,Average,4000,800,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,2500,400,0.16,Lower (< 1900)
Pishin,5 to 25 Acres,Average,4000,500,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,4500,600,0.133333333,Lower (< 1900)
Pishin,5 to 25 Acres,Average,15000,1500,0.1,Lower (< 1900)
Pishin,<5 Acres,Average,3000,400,0.133333333,Lower (< 1900)
Pishin,<5 Acres,Average,2000,600,0.3,Lower (< 1900)
Pishin,<5 Acres,Average,2500,350,0.14,Lower (< 1900)
Pishin,5 to 25 Acres,Average,9000,1000,0.111111111,Lower (< 1900)
Pishin,<5 Acres,Average,1500,300,0.2,Lower (< 1900)
Pishin,<5 Acres,Average,1000,30,0.03,Lower (< 1900)
Pishin,5 to 25 Acres,Average,4000,500,0.125,Lower (< 1900)
Pishin,5 to 25 Acres,Average,3500,500,0.142857143,Lower (< 1900)
Pishin,<5 Acres,Average,400,50,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,800,100,0.125,Lower (< 1900)
Pishin,<5 Acres,Average,1200,100,0.083333333,Lower (< 1900)
Pishin,<5 Acres,Average,3000,400,0.133333333,Lower (< 1900)
Pishin,5 to 25 Acres,Average,5000,600,0.12,Lower (< 1900)
Pishin,>25 Acres,Average,35000,4000,0.114285714,Higher (>= 1900)
Pishin,5 to 25 Acres,Average,20000,2000,0.1,Lower (< 1900)
Pishin,<5 Acres,Average,2500,250,0.1,Lower (< 1900)
Pishin,<5 Acres,Average,1000,120,0.12,Higher (>= 1900)
Pishin,<5 Acres,Average,2000,130,0.065,Higher (>= 1900)
Pishin,<5 Acres,Average,3500,200,0.057142857,Higher (>= 1900)
Pishin,<5 Acres,Average,2000,400,0.2,Higher (>= 1900)
Pishin,5 to 25 Acres,Average,20000,4000,0.2,Higher (>= 1900)
Pishin,5 to 25 Acres,Average,6000,1200,0.2,Higher (>= 1900)
Pishin,<5 Acres,Average,3500,500,0.142857143,Higher (>= 1900)
Pishin,<5 Acres,Average,2200,300,0.136363636,Higher (>= 1900)
Pishin,<5 Acres,Average,3000,500,0.166666667,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,300,10,0.033333333,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,350,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,700,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,900,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,200,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1000,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,190,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,500,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1000,0,0,Higher (>= 1900)
Killah Saifullah,<5 Acres,Average,1600,0,0,Higher (>= 1900)
